domain,name,tier,cluster,status,stage,hq,founded,first_seen,last_checked,what,why_tier,evidence_url,notes
glean.com,Glean,1,direct,active,series-f,"Palo Alto, US",2019,2026-06-10,2026-06-10,Work AI platform: enterprise search + agents across 100+ SaaS connectors; $300M ARR (May 2026); $7.2B valuation; now also selling AI cost reduction via token efficiency,Category leader in Astell's exact lane; CEO explicitly uses 'context graph' language,https://techcrunch.com/2026/05/28/gleans-top-line-crosses-300m-as-ai-budget-cutting-becomes-its-major-selling-point/,
dust.tt,Dust,1,direct,active,series-b,"Paris, FR",2022,2026-06-10,2026-06-10,"Multiplayer AI agents sharing context across 100+ connected sources; $40M Series B (Sequoia/Abstract, May 2026); 3000+ customers; $20M ARR; 240% NRR",Shared cross-tool agent context = graph-not-snapshot territory; EU data residency angle,https://tech.eu/2026/05/18/dust-raises-40m-series-b-to-build-the-multiplayer-operating-system-for-enterprise-ai/,
coworker.ai,Coworker (Village Platforms),1,direct,active,seed,"San Francisco, US",2024,2026-06-10,2026-06-10,"Enterprise AI agent platform: OM2 org knowledge graph learning across sources + 50+ read-write connectors + model routing pitched as 80% cheaper; customers incl. Huuuge, Atmosphere TV; $13M seed",Cross-tool org memory + agents + permission inheritance; ships vs-Glean/vs-Granola/vs-Dust comparison pages; even sells a 'Competitive Watch Agent',https://coworker.ai/,homepage verified 2026-06-10
granola.ai,Granola,1,chief-of-staff,active,series-c,"San Francisco, US",2022,2026-06-10,2026-06-10,AI meeting notetaker pivoting to enterprise context layer with APIs + MCP piping meeting data into any AI tool; $125M Series C at $1.5B (Mar 2026),$1.5B company moving from meetings into org-wide context — converging on Astell from the meeting wedge; Frank uses the product,https://techcrunch.com/2026/03/25/granola-raises-125m-hits-1-5b-valuation-as-it-expands-from-meeting-notetaker-to-enterprise-ai-app/,
interloom.com,Interloom,1,direct,active,seed,"Munich, DE",2024,2026-06-10,2026-06-10,"Builds 'context graphs' from operational records (emails, tickets, transcripts) to give agents org-specific tacit knowledge; $16.5M seed (DN Capital, Mar 2026); live at Commerzbank, VW, Zurich Insurance","Same graph framing as Astell pillar 2, differentiated by tacit-knowledge extraction; real enterprise logos at seed",https://fortune.com/2026/03/23/interloom-ai-agents-raises-16-million-venture-funding/,
cerenovus.com,Cerenovus,1,direct,active,seed,"San Francisco, US",2026,2026-06-10,2026-06-10,YC S26 'company brain': aggregates email/Slack/docs/CRM into a living knowledge graph; evidence-backed answers for leadership decisions; pilots live,Near-exact Astell analog at formation stage,https://www.ycombinator.com/companies/cerenovus,thin source (YC listing); verify on next status sweep
onyx.app,Onyx (fmr Danswer),1,direct,active,seed,"San Francisco, US",2023,2026-06-10,2026-06-10,"Open-source enterprise search + agents; 40+ connectors; MIT-licensed; self-hostable; $10M seed (Khosla + First Round, Mar 2025)",Open-source flank of Astell's lane; permission-aware cross-tool search,https://techcrunch.com/2025/03/12/why-onyx-thinks-its-open-source-solution-will-win-enterprise-search/,
gosearch.ai,GoSearch,1,direct,active,seed,"San Francisco, US",2022,2026-06-10,2026-06-10,Agentic enterprise search + agents across 100+ connectors; hybrid indexed/federated; GoLinks family; positions as faster-to-deploy Glean alternative,Direct lane: cross-tool AI search + agents at mid-market price point,https://www.gosearch.ai/,
ambient.us,Ambient,1,chief-of-staff,active,seed,"San Francisco, US",2022,2026-06-10,2026-06-10,"AI Chief of Staff for founders/ops leaders: ingests Zoom, Slack, Teams, Jira, HubSpot; extracts action items, owners, timelines into org intelligence newsfeed","Attacks Astell's proactive open-loops promise head-on, exec-centric wedge",https://www.ambient.us/,
bondapp.io,Bond,1,chief-of-staff,active,seed,"San Francisco, US",2025,2026-06-10,2026-06-10,"AI Chief of Staff for CEOs (YC X25, $3M seed): connects tools, indexes company data, tells founder their highest-leverage move",Cross-tool ingestion + proactive prioritization = Astell's 'what's drifting' for execs,https://www.ycombinator.com/companies/bond,
rekap.com,Rekap,1,chief-of-staff,active,seed,"Sunnyvale, US",unknown,2026-06-10,2026-06-10,"Listens in Slack, meetings, email to capture decisions, assign ownership, track commitments to completion",Decision/commitment tracking across tools = Astell's open-loop core,https://www.rekap.com/blogs/slack-decision-capture-system,site fetch returned empty 2026-06-10; details unverified — recheck
askelephant.ai,AskElephant,1,direct,active,seed,US,2023,2026-06-10,2026-06-10,"Cross-tool AI workspace connecting meetings, HubSpot/Salesforce, Notion, calendars; workspace-wide context search (Search v2)",Cross-tool context synthesis overlapping ingest-not-retrieve pillar,https://www.askelephant.ai/,
jared.so,Jared,1,chief-of-staff,active,seed,unknown,2024,2026-06-10,2026-06-10,"Slack-native AI chief of staff: task detection, digests, workflow follow-through across connected tools","Proactive open-loop surfacing, Slack wedge",https://www.producthunt.com/categories/ai-chief-of-staff,PH-sourced; verify domain + stage
thunai.ai,Thunai,1,direct,active,series-a,"Chennai, IN",2025,2026-06-10,2026-06-10,"Agentic platform turning scattered company knowledge into autonomous agents (sales, support, ops); #1 Product Hunt Jun 2025",Knowledge-to-agents across tools; fast-moving APAC entrant,https://thunai.ai/,
microsoft.com,Microsoft 365 Copilot + Work IQ,1,incumbent,feature,public,"Redmond, US",2023,2026-06-10,2026-06-10,"Cross-app AI on Microsoft Graph + 400+ MCP connectors; Work IQ persistent context layer now also exposed via Work IQ APIs (GA Jun 16, 2026) with Chat/Context/Tools domains, letting third parties build on the same grounding intelligence; cross-session memory, Copilot Notebooks.",Persistent context layer across (and beyond) M365 = Astell's promise with default distribution,https://techcommunity.microsoft.com/blog/microsoft365copilotblog/,Work IQ APIs reach GA 2026-06-16; consumption-priced in Copilot Credits.
cloud.google.com,Google Gemini Enterprise (absorbed Agentspace),1,incumbent,feature,public,"Mountain View, US",2024,2026-06-10,2026-06-10,"Employee AI + agent platform grounding across Drive, SharePoint, Jira, Confluence, HubSpot + custom connectors; multi-agent orchestration",Cross-SaaS permission-aware context layer with Google distribution,https://cloud.google.com/blog/products/ai-machine-learning/introducing-gemini-enterprise-agent-platform,
